block,response,text,time_elapsed,condition,participant_id,study_id,session_id
practice_a,"[""ball""]",The children found the %butter% under the house.,29619,condition_b,69418440d94b3a82657b6eae,,
practice_a,"[""picture""]",My teacher drew  a(n)  %ladder% in our class.,40017,condition_b,69418440d94b3a82657b6eae,,
practice_a,"[""writer""]",An author is called  a(n)  %writer% sometimes.,47777,condition_b,69418440d94b3a82657b6eae,,
practice_a,"[""bottles""]",My brother collects %bottles% for recycling.,52698,condition_b,69418440d94b3a82657b6eae,,
practice_b,"[""assembly""]",The children sang at the %battle% last week.,68298,condition_b,69418440d94b3a82657b6eae,,
practice_b,"[""map""]",The man found  a(n)  %fiddle% from Italy.,76586,condition_b,69418440d94b3a82657b6eae,,
practice_b,"[""collect""]",The child found a way to %whittle% sticks.,82651,condition_b,69418440d94b3a82657b6eae,,
practice_b,"[""waddle""]",The geese like to %waddle% down to the pond.,88394,condition_b,69418440d94b3a82657b6eae,,
main,"[""woodpecker""]",The woods are home to a(n) %elf% since last year.,100034,condition_b,69418440d94b3a82657b6eae,,
main,"[""criminal""]",The watchman found the %rails% last Friday night.,106274,condition_b,69418440d94b3a82657b6eae,,
main,"[""book""]",He was looking for the %ale% on the shelf.,110498,condition_b,69418440d94b3a82657b6eae,,
main,"[""post""]",I crashed into a(n) %elk% on my way home.,116506,condition_b,69418440d94b3a82657b6eae,,
main,"[""math""]",Many children learn about %Britain% in school.,121610,condition_b,69418440d94b3a82657b6eae,,
main,"[""opening""]",The store is ready for the %sale% next weekend.,126530,condition_b,69418440d94b3a82657b6eae,,
main,"[""Latin""]",The Roman people spoke %Latin% in ancient times.,143586,condition_b,69418440d94b3a82657b6eae,,
main,"[""net""]",The acrobat landed near the %helm% safely.,150106,condition_b,69418440d94b3a82657b6eae,,
main,"[""dollars""]",She will need seven %cartons% by Tuesday.,160290,condition_b,69418440d94b3a82657b6eae,,
main,"[""ball""]",The children found  a(n)  %whale% in the backyard.,166753,condition_b,69418440d94b3a82657b6eae,,
main,"[""stripe""]",The sweater had lovely %buttons% of gold.,172482,condition_b,69418440d94b3a82657b6eae,,
main,"[""flowers""]",The gardener planted %shells% in the beds.,177425,condition_b,69418440d94b3a82657b6eae,,
main,"[""mountains""]",The backpacker hiked in the %mountains% last weekend.,184457,condition_b,69418440d94b3a82657b6eae,,
main,"[""temperature""]",The doctor checked the child's %health% yesterday.,189681,condition_b,69418440d94b3a82657b6eae,,
main,"[""bug""]",The student saw the %cell% with the microscope.,202257,condition_b,69418440d94b3a82657b6eae,,
main,"[""belt""]",The man bought a leather %belt% for his pants.,207753,condition_b,69418440d94b3a82657b6eae,,
main,"[""story""]",The reporter heard the %tale% about Bigfoot.,212633,condition_b,69418440d94b3a82657b6eae,,
main,"[""prescriptions""]",My pharmacist used %elm% for the cough drops.,227609,condition_b,69418440d94b3a82657b6eae,,
main,"[""bird""]",The hiker found a new %trail% in the woods.,235865,condition_b,69418440d94b3a82657b6eae,,
main,"[""cotton""]",The shirt was made of %cotton% rather than wool.,240874,condition_b,69418440d94b3a82657b6eae,,
main,"[""bell""]",The baroness rang  a(n)  %bell% for service.,247922,condition_b,69418440d94b3a82657b6eae,,
main,"[""pool""]",The water splashed in the %fountain% noisely.,253409,condition_b,69418440d94b3a82657b6eae,,
main,"[""nail""]",The carpenter hammered the %nail% firmly.,258441,condition_b,69418440d94b3a82657b6eae,,
main,"[""rigs""]",Texas has many oil %wells% in the fields.,262593,condition_b,69418440d94b3a82657b6eae,,
main,"[""apartment""]",They heard the noise from the %kitten% next door.,268385,condition_b,69418440d94b3a82657b6eae,,
main,"[""tire""]",The mechanic found the %kale% in the trunk.,273169,condition_b,69418440d94b3a82657b6eae,,
main,"[""dog""]",The children saw the %mittens% on the sofa.,278705,condition_b,69418440d94b3a82657b6eae,,
main,"[""mail""]",They received a letter in the %mail% today.,283041,condition_b,69418440d94b3a82657b6eae,,
main,"[""t.v.""]",The children saw the %curtains% from outside.,301857,condition_b,69418440d94b3a82657b6eae,,
main,"[""egg""]",The woman saw  a(n)  %snail% next to the milk.,309241,condition_b,69418440d94b3a82657b6eae,,
